config,stage,embedded,detected_wm,conf,bit_acc
AU,1,AudioSeal,AudioSeal,1.0,1.0
AW,1,AWARE,AWARE,0.998,1.0
TI,1,Timbre,Timbre,1.0,1.0
AU_AW,1,AudioSeal,AudioSeal,1.0,1.0
AU_AW,2,AWARE,AudioSeal,0.999,1.0
AU_AW,2,AWARE,AWARE,0.998,1.0
AU_TI,1,AudioSeal,AudioSeal,1.0,1.0
AU_TI,2,Timbre,AudioSeal,1.0,1.0
AU_TI,2,Timbre,Timbre,1.0,1.0
AW_AU,1,AWARE,AWARE,0.998,1.0
AW_AU,2,AudioSeal,AWARE,0.996,1.0
AW_AU,2,AudioSeal,AudioSeal,1.0,1.0
AW_TI,1,AWARE,AWARE,0.998,1.0
AW_TI,2,Timbre,AWARE,0.992,1.0
AW_TI,2,Timbre,Timbre,1.0,1.0
TI_AU,1,Timbre,Timbre,1.0,1.0
TI_AU,2,AudioSeal,Timbre,1.0,1.0
TI_AU,2,AudioSeal,AudioSeal,1.0,1.0
TI_AW,1,Timbre,Timbre,1.0,1.0
TI_AW,2,AWARE,Timbre,1.0,1.0
TI_AW,2,AWARE,AWARE,0.998,1.0
AU_AW_TI,1,AudioSeal,AudioSeal,1.0,1.0
AU_AW_TI,2,AWARE,AudioSeal,0.999,1.0
AU_AW_TI,2,AWARE,AWARE,0.998,1.0
AU_AW_TI,3,Timbre,AudioSeal,0.999,1.0
AU_AW_TI,3,Timbre,AWARE,0.992,1.0
AU_AW_TI,3,Timbre,Timbre,1.0,1.0
AU_TI_AW,1,AudioSeal,AudioSeal,1.0,1.0
AU_TI_AW,2,Timbre,AudioSeal,1.0,1.0
AU_TI_AW,2,Timbre,Timbre,1.0,1.0
AU_TI_AW,3,AWARE,AudioSeal,1.0,1.0
AU_TI_AW,3,AWARE,Timbre,1.0,1.0
AU_TI_AW,3,AWARE,AWARE,0.998,1.0
AU_TI_AW,1,audioseal,AudioSeal,0.9999940991401672,1.0
AU_TI_AW,2,timbre,AudioSeal,0.999976396560669,1.0
AU_TI_AW,2,timbre,Timbre,1.0,1.0
AU_TI_AW,3,aware,AudioSeal,0.9998566508293152,1.0
AU_TI_AW,3,aware,Timbre,1.0,1.0
AU_TI_AW,3,aware,AWARE,0.998426774610483,1.0
AW_AU_TI,1,aware,AWARE,0.9978691405126433,1.0
AW_AU_TI,2,audioseal,AWARE,0.9964150534169828,1.0
AW_AU_TI,2,audioseal,AudioSeal,1.0,1.0
AW_AU_TI,3,timbre,AWARE,0.988675797090819,1.0
AW_AU_TI,3,timbre,AudioSeal,0.9999769330024719,1.0
AW_AU_TI,3,timbre,Timbre,1.0,1.0
AW_TI_AU,1,aware,AWARE,0.9978691405126433,1.0
AW_TI_AU,2,timbre,AWARE,0.992186505442762,1.0
AW_TI_AU,2,timbre,Timbre,1.0,1.0
AW_TI_AU,3,audioseal,AWARE,0.9887258098380266,1.0
AW_TI_AU,3,audioseal,Timbre,1.0,1.0
AW_TI_AU,3,audioseal,AudioSeal,1.0,1.0
TI_AU_AW,1,timbre,Timbre,1.0,1.0
TI_AU_AW,2,audioseal,Timbre,1.0,1.0
TI_AU_AW,2,audioseal,AudioSeal,0.9999903440475464,1.0
TI_AU_AW,3,aware,Timbre,1.0,1.0
TI_AU_AW,3,aware,AudioSeal,1.0,1.0
TI_AU_AW,3,aware,AWARE,0.9983907848444893,1.0
TI_AW_AU,1,timbre,Timbre,1.0,1.0
TI_AW_AU,2,aware,Timbre,1.0,1.0
TI_AW_AU,2,aware,AWARE,0.9983671079243414,1.0
TI_AW_AU,3,audioseal,Timbre,1.0,1.0
TI_AW_AU,3,audioseal,AWARE,0.9970950398596937,1.0
TI_AW_AU,3,audioseal,AudioSeal,0.9999946355819702,1.0
