config,stage,embedded,depth,pesq,snr_db,si_snr_db,stoi
AU_TI_AW,1,audioseal,1,4.176,24.96,25.0,
AU_TI_AW,2,timbre,2,3.38,22.68,22.69,
AU_TI_AW,3,aware,3,3.137,10.1,10.83,
AW_AU_TI,1,aware,1,4.296,10.53,11.11,
AW_AU_TI,2,audioseal,2,4.017,10.37,10.9,
AW_AU_TI,3,timbre,3,3.265,10.3,10.8,
AW_TI_AU,1,aware,1,4.296,10.53,11.11,
AW_TI_AU,2,timbre,2,3.371,10.46,11.02,
AW_TI_AU,3,audioseal,3,3.285,10.31,10.81,
TI_AU_AW,1,timbre,1,3.491,26.65,26.64,
TI_AU_AW,2,audioseal,2,3.401,22.73,22.74,
TI_AU_AW,3,aware,3,3.165,10.05,10.85,
TI_AW_AU,1,timbre,1,3.491,26.65,26.64,
TI_AW_AU,2,aware,2,3.211,10.11,11.02,
TI_AW_AU,3,audioseal,3,3.152,9.96,10.8,
