config,attack,watermark,conf,bit_acc,bits,pesq
AU,baseline,AudioSeal,,1.0,,4.176
AU,mp3_128,AudioSeal,,1.0,,4.181
AU,mp3_64,AudioSeal,,1.0,,4.174
AU,aac_128,AudioSeal,,1.0,,4.156
AU,opus_64,AudioSeal,,1.0,,4.167
AU,resample_8k,AudioSeal,,1.0,,3.749
AU,lowpass_4k,AudioSeal,,1.0,,4.193
AU,highpass_500,AudioSeal,,0.94,,4.177
AU,quantize_8bit,AudioSeal,,1.0,,2.267
AU,echo,AudioSeal,,1.0,,2.278
AU,sample_suppress,AudioSeal,,1.0,,4.036
AU,noise_20db,AudioSeal,,1.0,,1.992
AU,noise_10db,AudioSeal,,0.88,,1.276
AU,noise_5db,AudioSeal,,0.75,,1.143
AU,tempo_up_10,AudioSeal,,0.88,,
AU,tempo_down_10,AudioSeal,,0.81,,
AU,denoise,AudioSeal,,0.81,,3.98
AU,crop_30s,AudioSeal,,1.0,,
AU,crop_10s,AudioSeal,,1.0,,
AU,crop_5s,AudioSeal,,0.94,,
AU,crop_3s,AudioSeal,,0.94,,
AU,pitch_up,AudioSeal,,0.88,,
AW,baseline,AWARE,,1.0,,4.296
AW,mp3_128,AWARE,,1.0,,4.295
AW,mp3_64,AWARE,,1.0,,4.279
AW,aac_128,AWARE,,1.0,,4.269
AW,opus_64,AWARE,,1.0,,4.277
AW,resample_8k,AWARE,,1.0,,3.842
AW,lowpass_4k,AWARE,,1.0,,4.308
AW,highpass_500,AWARE,,1.0,,4.274
AW,quantize_8bit,AWARE,,1.0,,2.305
AW,echo,AWARE,,1.0,,2.25
AW,sample_suppress,AWARE,,1.0,,4.133
AW,noise_20db,AWARE,,1.0,,1.961
AW,noise_10db,AWARE,,1.0,,1.256
AW,noise_5db,AWARE,,0.95,,1.132
AW,tempo_up_10,AWARE,,1.0,,
AW,tempo_down_10,AWARE,,1.0,,
AW,denoise,AWARE,,1.0,,3.93
AW,crop_30s,AWARE,,0.8,,
AW,crop_10s,AWARE,,0.6,,
AW,crop_5s,AWARE,,0.75,,
AW,crop_3s,AWARE,,0.65,,
AW,pitch_up,AWARE,,0.65,,
TI,baseline,Timbre,,1.0,,3.491
TI,mp3_128,Timbre,,1.0,,3.489
TI,mp3_64,Timbre,,1.0,,3.472
TI,aac_128,Timbre,,1.0,,3.48
TI,opus_64,Timbre,,1.0,,3.474
TI,resample_8k,Timbre,,1.0,,3.245
TI,lowpass_4k,Timbre,,1.0,,3.592
TI,highpass_500,Timbre,,1.0,,3.55
TI,quantize_8bit,Timbre,,1.0,,2.129
TI,echo,Timbre,,1.0,,2.219
TI,sample_suppress,Timbre,,1.0,,3.416
TI,noise_20db,Timbre,,1.0,,1.919
TI,noise_10db,Timbre,,1.0,,1.265
TI,noise_5db,Timbre,,0.8,,1.14
TI,tempo_up_10,Timbre,,1.0,,
TI,tempo_down_10,Timbre,,1.0,,
TI,denoise,Timbre,,1.0,,3.736
TI,crop_30s,Timbre,,1.0,,
TI,crop_10s,Timbre,,1.0,,
TI,crop_5s,Timbre,,1.0,,
TI,crop_3s,Timbre,,1.0,,
TI,pitch_up,Timbre,,0.2,,
AU_AW,baseline,AudioSeal,,1.0,,4.004
AU_AW,baseline,AWARE,,1.0,,4.004
AU_AW,mp3_128,AudioSeal,,1.0,,4.007
AU_AW,mp3_128,AWARE,,1.0,,4.007
