condition,group,strength,n,src_pesq,wm_pesq,comb_pesq,arm_gap,src_snr_db,wm_snr_db,src_band_keep,wm_band_keep,src_conf,wm_conf,wm_bit_acc,det_rate,fp_rate,verdict
clean,control,,5,4.6439,4.6439,4.1887,0.0,,,1.0,1.0,0.096721,0.999668,1.0,1.0,0.0,survivable
mp3_32k,anchor,,5,3.7641,3.7809,3.4794,-0.0619,20.924,21.094,0.91451,0.91318,0.086004,0.995272,1.0,1.0,0.0,survivable
hp_200hz,highpass,200.0,5,3.8165,3.8122,3.7142,0.0152,8.879,8.827,1.0,1.0,0.096492,0.999668,1.0,1.0,0.0,survivable
hp_500hz,highpass,500.0,5,2.4509,2.4411,2.0863,0.0098,1.624,1.529,1.0,1.0,0.095722,0.999668,1.0,1.0,0.0,survivable
hp_1000hz,highpass,1000.0,5,1.8078,1.8498,1.5767,-0.0338,0.625,0.414,0.94391,0.93786,0.097871,0.999646,1.0,1.0,0.0,DESTRUCTIVE
hp_1500hz,highpass,1500.0,5,1.7099,1.5997,1.4993,-0.0292,0.296,0.211,0.40678,0.38947,0.081624,0.983138,1.0,1.0,0.0,DESTRUCTIVE
hp_2000hz,highpass,2000.0,5,1.5314,1.6304,1.4411,-0.0188,0.163,0.122,0.2091,0.21755,0.129345,0.800189,0.95,1.0,0.0,DESTRUCTIVE
hp_2500hz,highpass,2500.0,5,1.639,1.5964,1.5193,0.0015,0.098,0.083,0.11748,0.12267,0.088248,0.473177,0.8,0.2,0.0,DESTRUCTIVE
hp_3200hz,highpass,3200.0,5,1.3247,1.3715,1.2996,0.0098,0.056,0.053,0.02365,0.01866,0.068312,0.134556,0.65,0.0,0.0,DESTRUCTIVE
quant_256lvl,quantize,256.0,5,2.4021,2.3751,2.2435,-0.0328,36.09,36.173,1.00097,1.00184,0.092518,0.999194,1.0,1.0,0.0,survivable
quant_64lvl,quantize,64.0,5,1.4391,1.445,1.4166,-0.0081,23.211,24.509,1.01383,1.02306,0.063809,0.975774,1.0,1.0,0.0,DESTRUCTIVE
quant_32lvl,quantize,32.0,5,1.1697,1.1843,1.1695,-0.0047,18.713,17.373,1.06127,1.08688,0.061672,0.865593,1.0,1.0,0.0,DESTRUCTIVE
quant_16lvl,quantize,16.0,5,1.0589,1.0651,1.06,-0.0027,11.538,11.695,1.27573,1.37162,0.070999,0.608938,0.8,0.8,0.0,DESTRUCTIVE
quant_8lvl,quantize,8.0,5,1.0361,1.036,1.0341,-0.0007,4.645,4.799,2.25147,2.51363,0.041228,0.0832,0.7,0.0,0.0,DESTRUCTIVE
quant_4lvl,quantize,4.0,5,1.0258,1.0302,1.0277,-0.0005,-2.485,-3.126,6.91158,8.88218,0.139494,0.156814,0.55,0.0,0.0,DESTRUCTIVE
