target,attack,strength_label,strength_x,watermark,bit_acc,ber,conf,detected
audioseal,time_stretch,0.7,0.7,AudioSeal,0.75,0.25,0.199,0
audioseal,time_stretch,0.9,0.9,AudioSeal,0.625,0.375,0.313,0
audioseal,time_stretch,1.1,1.1,AudioSeal,0.812,0.188,0.324,1
audioseal,time_stretch,1.3,1.3,AudioSeal,0.688,0.312,0.234,0
audioseal,time_stretch,1.5,1.5,AudioSeal,0.75,0.25,0.178,0
audioseal,gaussian_noise,40dB,40.0,AudioSeal,1.0,0.0,1.0,1
audioseal,gaussian_noise,30dB,30.0,AudioSeal,1.0,0.0,0.801,1
audioseal,gaussian_noise,20dB,20.0,AudioSeal,1.0,0.0,0.529,1
audioseal,gaussian_noise,10dB,10.0,AudioSeal,0.875,0.125,0.339,1
audioseal,gaussian_noise,5dB,5.0,AudioSeal,0.75,0.25,0.277,0
audioseal,background_noise,40dB,40.0,AudioSeal,1.0,0.0,0.996,1
audioseal,background_noise,30dB,30.0,AudioSeal,1.0,0.0,0.803,1
audioseal,background_noise,20dB,20.0,AudioSeal,1.0,0.0,0.484,1
audioseal,background_noise,10dB,10.0,AudioSeal,0.875,0.125,0.368,1
audioseal,background_noise,5dB,5.0,AudioSeal,0.812,0.188,0.277,1
audioseal,opus,16k,16.0,AudioSeal,1.0,0.0,0.994,1
audioseal,opus,32k,32.0,AudioSeal,1.0,0.0,1.0,1
audioseal,opus,64k,64.0,AudioSeal,1.0,0.0,1.0,1
audioseal,opus,128k,128.0,AudioSeal,1.0,0.0,1.0,1
audioseal,opus,256k,256.0,AudioSeal,1.0,0.0,1.0,1
audioseal,encodec,1.5kbps,1.5,AudioSeal,0.625,0.375,0.404,0
audioseal,encodec,3.0kbps,3.0,AudioSeal,0.688,0.312,0.496,0
audioseal,encodec,6.0kbps,6.0,AudioSeal,0.688,0.312,0.584,0
audioseal,encodec,12.0kbps,12.0,AudioSeal,0.938,0.062,0.666,1
audioseal,encodec,24.0kbps,24.0,AudioSeal,1.0,0.0,0.763,1
audioseal,quantization,4lvl,4.0,AudioSeal,0.625,0.375,0.139,0
audioseal,quantization,8lvl,8.0,AudioSeal,0.5,0.5,0.127,0
audioseal,quantization,16lvl,16.0,AudioSeal,0.812,0.188,0.248,1
audioseal,quantization,32lvl,32.0,AudioSeal,0.875,0.125,0.276,1
audioseal,quantization,64lvl,64.0,AudioSeal,1.0,0.0,0.401,1
audioseal,highpass,0.1,0.1,AudioSeal,0.562,0.438,0.508,0
audioseal,highpass,0.2,0.2,AudioSeal,0.625,0.375,0.202,0
audioseal,highpass,0.3,0.3,AudioSeal,0.438,0.562,0.0,0
audioseal,highpass,0.4,0.4,AudioSeal,0.5,0.5,0.0,0
audioseal,highpass,0.5,0.5,AudioSeal,0.5,0.5,0.0,0
audioseal,lowpass,0.1,0.1,AudioSeal,1.0,0.0,1.0,1
audioseal,lowpass,0.2,0.2,AudioSeal,1.0,0.0,1.0,1
audioseal,lowpass,0.3,0.3,AudioSeal,1.0,0.0,1.0,1
audioseal,lowpass,0.4,0.4,AudioSeal,1.0,0.0,1.0,1
audioseal,lowpass,0.5,0.5,AudioSeal,1.0,0.0,1.0,1
audioseal,smooth,w6,6.0,AudioSeal,1.0,0.0,1.0,1
audioseal,smooth,w10,10.0,AudioSeal,1.0,0.0,1.0,1
audioseal,smooth,w14,14.0,AudioSeal,1.0,0.0,0.771,1
audioseal,smooth,w18,18.0,AudioSeal,1.0,0.0,0.503,1
audioseal,smooth,w22,22.0,AudioSeal,0.562,0.438,0.517,0
